stimulus_id,sentence_id,sentence_text,emotion,strength_label,style_weight,filename
1,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,Neutral,Medium,1.0,S1_Neutral_Medium.wav
2,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,anger,3.0,3.0,S1_anger_3.0.wav
3,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,happy,4.0,4.0,S1_happy_4.0.wav
4,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,anger,4.0,4.0,S1_anger_4.0.wav
5,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,anger,1.0,1.0,S1_anger_1.0.wav
6,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,sad,5.0,5.0,S1_sad_5.0.wav
7,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,anger,2.0,2.0,S1_anger_2.0.wav
8,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,happy,2.0,2.0,S1_happy_2.0.wav
9,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,happy,0.5,0.5,S1_happy_0.5.wav
10,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,sad,2.0,2.0,S1_sad_2.0.wav
11,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,sad,4.0,4.0,S1_sad_4.0.wav
12,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,happy,3.0,3.0,S1_happy_3.0.wav
13,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,anger,0.5,0.5,S1_anger_0.5.wav
14,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,sad,0.5,0.5,S1_sad_0.5.wav
15,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,happy,1.0,1.0,S1_happy_1.0.wav
16,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,sad,1.0,1.0,S1_sad_1.0.wav
17,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,happy,5.0,5.0,S1_happy_5.0.wav
18,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,anger,5.0,5.0,S1_anger_5.0.wav
19,S1,野辺山宇宙電波観測所には、直径45メートルの電波望遠鏡があります。,sad,3.0,3.0,S1_sad_3.0.wav
20,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,Neutral,Medium,1.0,S2_Neutral_Medium.wav
21,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,sad,0.5,0.5,S2_sad_0.5.wav
22,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,anger,2.0,2.0,S2_anger_2.0.wav
23,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,anger,3.0,3.0,S2_anger_3.0.wav
24,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,sad,2.0,2.0,S2_sad_2.0.wav
25,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,sad,5.0,5.0,S2_sad_5.0.wav
26,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,happy,5.0,5.0,S2_happy_5.0.wav
27,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,happy,3.0,3.0,S2_happy_3.0.wav
28,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,happy,4.0,4.0,S2_happy_4.0.wav
29,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,anger,5.0,5.0,S2_anger_5.0.wav
30,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,sad,4.0,4.0,S2_sad_4.0.wav
31,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,anger,1.0,1.0,S2_anger_1.0.wav
32,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,happy,2.0,2.0,S2_happy_2.0.wav
33,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,sad,1.0,1.0,S2_sad_1.0.wav
34,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,happy,1.0,1.0,S2_happy_1.0.wav
35,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,anger,0.5,0.5,S2_anger_0.5.wav
36,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,sad,3.0,3.0,S2_sad_3.0.wav
37,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,anger,4.0,4.0,S2_anger_4.0.wav
38,S2,効果的なエアコン暖房の節電を行うために必要な心がけは、どのようなことでしょうか。,happy,0.5,0.5,S2_happy_0.5.wav
39,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,Neutral,Medium,1.0,S3_Neutral_Medium.wav
40,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,anger,4.0,4.0,S3_anger_4.0.wav
41,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,happy,2.0,2.0,S3_happy_2.0.wav
42,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,happy,0.5,0.5,S3_happy_0.5.wav
43,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,sad,2.0,2.0,S3_sad_2.0.wav
44,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,happy,3.0,3.0,S3_happy_3.0.wav
45,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,sad,1.0,1.0,S3_sad_1.0.wav
46,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,sad,5.0,5.0,S3_sad_5.0.wav
47,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,anger,2.0,2.0,S3_anger_2.0.wav
48,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,happy,5.0,5.0,S3_happy_5.0.wav
49,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,anger,5.0,5.0,S3_anger_5.0.wav
50,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,anger,1.0,1.0,S3_anger_1.0.wav
51,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,anger,0.5,0.5,S3_anger_0.5.wav
52,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,sad,3.0,3.0,S3_sad_3.0.wav
53,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,sad,4.0,4.0,S3_sad_4.0.wav
54,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,anger,3.0,3.0,S3_anger_3.0.wav
55,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,happy,1.0,1.0,S3_happy_1.0.wav
56,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,happy,4.0,4.0,S3_happy_4.0.wav
57,S3,千住宿は、江戸との往来者が多かったほか、江戸から移り住んできた人も多くいました。,sad,0.5,0.5,S3_sad_0.5.wav
